T,A
1.03E-02,-0.3142907
1.03E-02,-0.4195513
1.04E-02,-0.5082948
1.04E-02,-0.5669236
1.04E-02,-0.5999885
1.05E-02,-0.6114483
1.05E-02,-0.6034511
1.05E-02,-0.5818621
1.06E-02,-0.5499678
0.0105896,-0.5062699
1.06E-02,-0.4480076
1.07E-02,-0.3762574
1.07E-02,-0.2938022
1.07E-02,-0.2071251
1.07E-02,-0.1192285
1.08E-02,-3.21E-02
1.08E-02,4.83E-02
1.08E-02,0.1116649
1.09E-02,0.1472602
1.09E-02,0.1600551
1.09E-02,0.1570226
1.10E-02,0.1389218
1.10E-02,0.104725
1.10E-02,5.69E-02
1.10E-02,-2.76E-03
1.11E-02,-7.12E-02
0.0111084,-0.1422838
1.11E-02,-0.2140314
1.12E-02,-0.2914161
1.12E-02,-0.3739344
1.12E-02,-0.4523254
1.13E-02,-0.5226173
0.0112915,-0.5815509
1.13E-02,-0.6313381
1.14E-02,-0.6765503
1.14E-02,-0.7165434
1.14E-02,-0.7469212
1.14E-02,-0.7669463
1.15E-02,-0.7870833
1.15E-02,-0.8107191
1.15E-02,-0.8280332
1.16E-02,-0.830131
1.16E-02,-0.8172361
0.0116272,-0.7965601
1.17E-02,-0.7698786
1.17E-02,-0.740702
1.17E-02,-0.7128059
1.17E-02,-0.6876824
1.18E-02,-0.6666211
0.0118103,-0.6443472
1.18E-02,-0.6136006
1.19E-02,-0.5733969
1.19E-02,-0.5308568
1.19E-02,-0.4945011
1.20E-02,-0.4701424
1.20E-02,-0.4627993
1.20E-02,-0.4720147
1.21E-02,-0.4895353
1.21E-02,-0.5112799
1.21E-02,-0.5339872
0.012146,-0.5558845
1.22E-02,-0.5705347
1.22E-02,-0.5890653
1.22E-02,-0.6211554
1.23E-02,-0.6621605
1.23E-02,-0.6988731
0.0123291,-0.7299313
1.24E-02,-0.7637271
1.24E-02,-0.7997954
1.24E-02,-0.8316755
1.25E-02,-0.8605686
1.25E-02,-0.895348
1.25E-02,-0.9365929
1.25E-02,-0.9682795
1.26E-02,-0.9871678
1.26E-02,-0.9975643
1.26E-02,-0.9994913
1.27E-02,-0.9961454
1.27E-02,-0.9917978
1.27E-02,-0.9846354
1.28E-02,-0.9695235
1.28E-02,-0.943813
1.28E-02,-0.9199834
0.0128479,-0.9044691
1.29E-02,-0.8988194
