T,A
0.0116272,1.49325
1.17E-02,1.50278
1.17E-02,1.505932
1.17E-02,1.523596
1.17E-02,1.552988
1.18E-02,1.585104
0.0118103,1.628847
1.18E-02,1.64073
1.19E-02,1.67345
1.19E-02,1.686972
1.19E-02,1.686904
1.20E-02,1.69043
1.20E-02,1.674898
1.20E-02,1.659402
1.21E-02,1.664815
1.21E-02,1.671978
1.21E-02,1.673745
0.012146,1.680018
1.22E-02,1.683522
1.22E-02,1.686034
1.22E-02,1.665035
1.23E-02,1.612226
1.23E-02,1.551494
0.0123291,1.51808
1.24E-02,1.495675
1.24E-02,1.476071
1.24E-02,1.44919
1.25E-02,1.424206
1.25E-02,1.395682
1.25E-02,1.383527
1.25E-02,1.384155
1.26E-02,1.36024
1.26E-02,1.369953
1.26E-02,1.382382
1.27E-02,1.410215
1.27E-02,1.423443
1.27E-02,1.442978
1.28E-02,1.458794
1.28E-02,1.47554
1.28E-02,1.480394
0.0128479,1.473451
1.29E-02,1.45468
1.29E-02,1.443218
1.29E-02,1.428179
1.30E-02,1.41226
1.30E-02,1.391801
1.30E-02,1.396842
1.31E-02,1.417247
1.31E-02,1.4404
1.31E-02,1.461594
1.32E-02,1.485473
1.32E-02,1.517462
1.32E-02,1.544844
1.32E-02,1.561283
1.33E-02,1.577612
1.33E-02,1.58846
1.33E-02,1.611054
0.0133667,1.61637
1.34E-02,1.617149
1.34E-02,1.607911
1.35E-02,1.589597
1.35E-02,1.586768
1.35E-02,1.550311
0.0135498,1.513092
1.36E-02,1.480482
1.36E-02,1.443438
1.36E-02,1.41552
1.37E-02,1.387733
1.37E-02,1.370879
1.37E-02,1.376709
1.38E-02,1.389843
1.38E-02,1.414718
1.38E-02,1.43952
1.39E-02,1.457966
0.0138855,1.481728
1.39E-02,1.499989
1.39E-02,1.505501
1.40E-02,1.493721
1.40E-02,1.475618
1.40E-02,1.446695
0.0140686,1.411435
1.41E-02,1.348126
1.41E-02,1.2696
1.42E-02,1.181269
1.42E-02,1.116789
1.42E-02,1.064258
1.43E-02,1.01821
1.43E-02,0.9803982
1.43E-02,0.9573324
1.43E-02,0.94879
1.44E-02,0.9529012
0.0144043,0.9461949
1.44E-02,0.9304088
1.45E-02,0.9410287
1.45E-02,0.9760922
1.45E-02,1.011059
1.46E-02,1.036835
0.0145874,1.061684
1.46E-02,1.078223
1.46E-02,1.078418
1.47E-02,1.05859
1.47E-02,1.041557
1.47E-02,1.008269
1.48E-02,0.9804378
1.48E-02,0.9582311
1.48E-02,0.9187462
1.49E-02,0.8766776
1.49E-02,0.836549
0.0149231,0.8028109
1.50E-02,0.7683053
1.50E-02,0.7139304
1.50E-02,0.6742241
1.50E-02,0.6581807
1.51E-02,0.6466943
0.0151062,0.6388983
1.51E-02,0.6256886
1.52E-02,0.6088498
1.52E-02,0.5838751
1.52E-02,0.5545092
1.53E-02,0.5097166
1.53E-02,0.4650415
1.53E-02,0.4340945
1.54E-02,0.4350276
1.54E-02,0.4695261
1.54E-02,0.5284672
1.54E-02,0.5899351
1.55E-02,0.6448895
1.55E-02,0.7123908
1.55E-02,0.7624979
1.56E-02,0.7834163
1.56E-02,0.8078772
0.015625,0.8141428
1.57E-02,0.8140412
1.57E-02,0.8148525
1.57E-02,0.8047335
1.57E-02,0.8001317
1.58E-02,0.8009104
1.58E-02,0.7800168
1.58E-02,0.7509363
1.59E-02,0.7201605
1.59E-02,0.6984972
1.59E-02,0.6895846
1.60E-02,0.694304
1.60E-02,0.7071261
1.60E-02,0.7263814
1.61E-02,0.7436907
1.61E-02,0.7800553
1.61E-02,0.8126581
0.0161438,0.8606132
1.62E-02,0.9039211
1.62E-02,0.9425328
1.62E-02,0.9928792
1.63E-02,1.027646
1.63E-02,1.030518
0.0163269,1.034293
1.64E-02,1.022613
1.64E-02,1.011876
1.64E-02,0.9911546
1.64E-02,0.9632825
1.65E-02,0.9590408
1.65E-02,0.9557225
1.65E-02,0.9506397
1.66E-02,0.9500227
1.66E-02,0.9412863
1.66E-02,0.9389176
0.0166626,0.91934
1.67E-02,0.8870549
1.67E-02,0.863947
1.68E-02,0.8327798
1.68E-02,0.8070638
1.68E-02,0.7959396
0.0168457,0.7866734
1.69E-02,0.7820066
1.69E-02,0.7818662
1.69E-02,0.7953343
1.70E-02,0.8032706
1.70E-02,0.8067273
1.70E-02,0.8174353
1.71E-02,0.8017446
1.71E-02,0.7924405
1.71E-02,0.7768106
1.72E-02,0.7639663
0.0171814,0.7302795
1.72E-02,0.6975343
1.72E-02,0.6640192
1.73E-02,0.6487184
1.73E-02,0.6288785
1.73E-02,0.6082347
0.0173645,0.6085178
1.74E-02,0.6015348
1.74E-02,0.6145267
1.75E-02,0.6310831
1.75E-02,0.624949
1.75E-02,0.5888609
1.75E-02,0.5582989
1.76E-02,0.5132899
1.76E-02,0.4584501
1.76E-02,0.3873972
1.77E-02,0.3211098
0.0177002,0.2504201
1.77E-02,0.1744856
1.78E-02,0.1032692
1.78E-02,3.04E-02
1.78E-02,-3.22E-02
1.79E-02,-5.29E-02
0.0178833,-4.64E-02
1.79E-02,-1.72E-02
1.79E-02,0.025598
1.80E-02,9.27E-02
1.80E-02,0.1714985
1.80E-02,0.2510459
1.81E-02,0.3012059
1.81E-02,0.3132064
1.81E-02,0.290628
1.82E-02,0.2672541
1.82E-02,0.2130578
1.82E-02,0.1480797
1.82E-02,6.24E-02
1.83E-02,5.69E-04
1.83E-02,-4.75E-02
1.83E-02,-6.37E-02
1.84E-02,-9.16E-02
0.0184021,-8.95E-02
1.84E-02,-8.46E-02
1.85E-02,-6.08E-02
1.85E-02,-2.79E-02
1.85E-02,-6.89E-03
1.86E-02,3.95E-02
1.86E-02,9.02E-02
1.86E-02,0.1553899
1.86E-02,0.2203259
1.87E-02,0.2760552
1.87E-02,0.3216864
1.87E-02,0.367195
1.88E-02,0.3843828
1.88E-02,0.3779641
1.88E-02,0.3425083
1.89E-02,0.3016526
1.89E-02,0.2718909
0.0189209,0.2521561
1.90E-02,0.2351585
1.90E-02,0.2164353
1.90E-02,0.2067944
1.90E-02,0.2071882
1.91E-02,0.2003171
0.019104,0.1925479
1.91E-02,0.1947476
1.92E-02,0.1906541
1.92E-02,0.1829086
1.92E-02,0.188794
1.93E-02,0.1964942
1.93E-02,0.2122908
1.93E-02,0.2235891
1.93E-02,0.2139214
1.94E-02,0.2215517
1.94E-02,0.213719
0.0194397,0.2095685
1.95E-02,0.1881554
1.95E-02,0.1531877
1.95E-02,0.1310079
1.96E-02,0.1224976
1.96E-02,0.1121784
0.0196228,0.1182437
1.97E-02,0.106165
1.97E-02,0.1267719
1.97E-02,0.1663665
1.97E-02,0.1741168
1.98E-02,0.1954567
1.98E-02,0.1895174
1.98E-02,0.1945186
1.99E-02,0.2067689
1.99E-02,0.1953653
1.99E-02,0.1612253
0.0199585,0.1390775
2.00E-02,0.1387166
2.00E-02,0.1573991
2.01E-02,0.1814635
2.01E-02,0.2055243
2.01E-02,0.2521643
0.0201416,0.2969092
2.02E-02,0.3533138
2.02E-02,0.3877774
2.02E-02,0.4167159
2.03E-02,0.45467
2.03E-02,0.5133956
2.03E-02,0.5691555
2.04E-02,0.6139616
2.04E-02,0.64589
2.04E-02,0.6795621
2.04E-02,0.7013623
2.05E-02,0.6858706
2.05E-02,0.6359328
2.05E-02,0.5597585
2.06E-02,0.4720663
2.06E-02,0.3736806
2.06E-02,0.2419861
0.0206604,8.97E-02
2.07E-02,-9.12E-02
2.07E-02,-0.256164
2.08E-02,-0.4071167
2.08E-02,-0.5367312
2.08E-02,-0.6305983
2.08E-02,-0.7051703
2.09E-02,-0.7169193
2.09E-02,-0.6814543
2.09E-02,-0.6216062
2.10E-02,-0.5555066
2.10E-02,-0.4787167
2.10E-02,-0.4075006
2.11E-02,-0.3401959
2.11E-02,-0.2838724
2.11E-02,-0.273169
2.11E-02,-0.2687797
0.0211792,-0.2725799
2.12E-02,-0.2854633
2.12E-02,-0.3046591
2.13E-02,-0.3319204
2.13E-02,-0.3428115
2.13E-02,-0.3454937
0.0213623,-0.3527453
2.14E-02,-0.3754182
2.14E-02,-0.3897897
2.15E-02,-0.3869707
2.15E-02,-0.370486
2.15E-02,-0.3749179
2.15E-02,-0.3693269
2.16E-02,-0.3638106
2.16E-02,-0.3600777
2.16E-02,-0.3545224
2.17E-02,-0.3690002
0.021698,-0.3661652
2.17E-02,-0.3842105
2.18E-02,-0.3958587
2.18E-02,-0.4029579
2.18E-02,-0.4372584
2.19E-02,-0.4641419
0.0218811,-0.4883277
2.19E-02,-0.5069543
2.19E-02,-0.509172
2.20E-02,-0.5159596
2.20E-02,-0.5045388
2.20E-02,-0.4632395
2.21E-02,-0.4183863
2.21E-02,-0.3673035
2.21E-02,-0.2945657
2.22E-02,-0.2129263
2.22E-02,-0.1242403
0.0222168,-5.21E-02
2.22E-02,1.07E-02
2.23E-02,5.25E-02
2.23E-02,8.14E-02
2.23E-02,9.57E-02
2.24E-02,9.92E-02
0.0223999,7.63E-02
2.24E-02,3.71E-02
2.25E-02,-0.014705
2.25E-02,-9.17E-02
2.25E-02,-0.1740614
2.26E-02,-0.2670584
2.26E-02,-0.359807
2.26E-02,-0.4513918
2.26E-02,-0.5227118
2.27E-02,-0.5685104
2.27E-02,-0.5941046
0.0227356,-0.5979001
2.28E-02,-0.6044298
2.28E-02,-0.6172877
2.28E-02,-0.6182684
2.29E-02,-0.6265685
2.29E-02,-0.6375299
0.0229187,-0.6184915
2.29E-02,-0.6040792
2.30E-02,-0.5896422
2.30E-02,-0.5544286
2.30E-02,-0.5229077
2.31E-02,-0.5041642
2.31E-02,-0.5127515
2.31E-02,-0.5530524
2.32E-02,-0.6105169
2.32E-02,-0.6850992
2.32E-02,-0.7639362
2.33E-02,-0.8561714
2.33E-02,-0.9627455
2.33E-02,-1.048097
2.33E-02,-1.11149
2.34E-02,-1.168362
2.34E-02,-1.201397
0.0234375,-1.227993
2.35E-02,-1.240963
2.35E-02,-1.226672
2.35E-02,-1.212355
2.36E-02,-1.197155
2.36E-02,-1.191147
2.36E-02,-1.196015
2.37E-02,-1.196288
2.37E-02,-1.203819
2.37E-02,-1.219444
2.37E-02,-1.241493
2.38E-02,-1.263417
2.38E-02,-1.277161
2.38E-02,-1.295381
2.39E-02,-1.341684
2.39E-02,-1.374188
2.39E-02,-1.42662
0.0239563,-1.46255
2.40E-02,-1.489346
2.40E-02,-1.513258
2.40E-02,-1.502738
2.41E-02,-1.465874
2.41E-02,-1.410914
0.0241394,-1.349748
2.42E-02,-1.296003
2.42E-02,-1.224269
2.42E-02,-1.121837
2.43E-02,-1.009726
2.43E-02,-0.9468604
2.43E-02,-1.021243
2.44E-02,-1.285122
2.44E-02,-1.734329
2.44E-02,-2.306723
2.44E-02,-2.840354
0.0244751,-3.224667
2.45E-02,-3.404575
2.45E-02,-3.440561
2.46E-02,-3.531858
2.46E-02,-3.764502
2.46E-02,-4.151664
0.0246582,-4.594971
2.47E-02,-4.923677
2.47E-02,-5.028225
2.47E-02,-4.860077
2.48E-02,-4.400122
2.48E-02,-3.693573
2.48E-02,-2.805604
2.49E-02,-1.813726
2.49E-02,-0.7873738
2.49E-02,0.2100042
2.50E-02,1.093093
0.0249939,1.826794
2.50E-02,2.358828
2.51E-02,2.596224
2.51E-02,2.487277
2.51E-02,2.0254
2.51E-02,1.236255
0.025177,0.2386346
2.52E-02,-0.8779737
2.52E-02,-2.011565
2.53E-02,-3.053203
2.53E-02,-3.936845
2.53E-02,-4.566717
2.54E-02,-4.933482
2.54E-02,-5.074155
2.54E-02,-5.003865
2.55E-02,-4.773099
2.55E-02,-4.416772
0.0255127,-3.949685
2.55E-02,-3.394898
2.56E-02,-2.789819
2.56E-02,-2.229919
2.56E-02,-1.741449
2.57E-02,-1.325928
0.0256958,-0.9596039
2.57E-02,-0.6641371
2.58E-02,-0.4375698
2.58E-02,-0.2769727
2.58E-02,-0.1739311
2.58E-02,-0.1111411
2.59E-02,-0.1138256
2.59E-02,-0.1500719
2.59E-02,-0.2253446
2.60E-02,-0.3429577
2.60E-02,-0.5038967
2.60E-02,-0.7632823
2.61E-02,-1.1355
2.61E-02,-1.605661
2.61E-02,-2.148967
2.62E-02,-2.735252
2.62E-02,-3.290975
0.0262146,-3.74627
2.62E-02,-4.041525
2.63E-02,-4.149822
2.63E-02,-4.043644
2.63E-02,-3.765311
2.64E-02,-3.373387
2.64E-02,-2.928844
2.64E-02,-2.49463
2.65E-02,-2.071511
2.65E-02,-1.721228
2.65E-02,-1.454452
2.66E-02,-1.251919
2.66E-02,-1.135247
2.66E-02,-1.112327
2.66E-02,-1.203844
2.67E-02,-1.390449
2.67E-02,-1.63649
0.0267334,-1.889988
2.68E-02,-2.074749
2.68E-02,-2.144693
2.68E-02,-2.07095
2.69E-02,-1.834981
2.69E-02,-1.46438
0.0269165,-1.053013
2.69E-02,-0.6789913
2.70E-02,-0.4022157
2.70E-02,-0.2577673
2.70E-02,-0.2535341
2.71E-02,-0.4080636
2.71E-02,-0.7120217
2.71E-02,-1.140351
2.72E-02,-1.652925
2.72E-02,-2.220402
2.72E-02,-2.803572
0.0272522,-3.347949
2.73E-02,-3.807368
2.73E-02,-4.153063
2.73E-02,-4.356161
2.74E-02,-4.398973
2.74E-02,-4.279181
0.0274353,-4.009973
2.75E-02,-3.647047
2.75E-02,-3.247842
2.75E-02,-2.867816
2.76E-02,-2.54055
2.76E-02,-2.264988
2.76E-02,-2.065469
2.76E-02,-1.917316
2.77E-02,-1.837667
2.77E-02,-1.805403
2.77E-02,-1.789515
0.027771,-1.785504
2.78E-02,-1.783267
2.78E-02,-1.774743
2.79E-02,-1.737977
2.79E-02,-1.667855
2.79E-02,-1.536146
0.0279541,-1.396604
2.80E-02,-1.271955
2.80E-02,-1.163929
2.80E-02,-1.097996
2.81E-02,-1.093026
2.81E-02,-1.138907
2.81E-02,-1.222748
2.82E-02,-1.340847
2.82E-02,-1.469613
2.82E-02,-1.593392
2.83E-02,-1.725015
