T,A
9.77E-03,-0.2402942
9.80E-03,-0.2663514
9.83E-03,-0.276866
9.86E-03,-0.2716197
9.89E-03,-0.251738
9.92E-03,-0.2248741
9.95E-03,-0.1953496
9.98E-03,-0.1681003
1.00E-02,-0.1503223
1.00E-02,-0.1459426
0.0100708,-0.1608153
1.01E-02,-0.1868326
1.01E-02,-0.2181663
1.02E-02,-0.2506212
1.02E-02,-0.2808527
1.02E-02,-0.3031291
1.03E-02,-0.3134128
1.03E-02,-0.3092332
1.03E-02,-0.2883553
1.03E-02,-0.2557216
1.04E-02,-0.2171314
1.04E-02,-0.1802454
1.04E-02,-0.1549621
1.05E-02,-0.1433411
1.05E-02,-0.1460023
1.05E-02,-0.1593523
1.06E-02,-0.1805855
0.0105896,-0.2037299
1.06E-02,-0.2287194
1.07E-02,-0.2503151
1.07E-02,-0.2667407
1.07E-02,-0.2737375
1.07E-02,-0.2709339
1.08E-02,-0.2588289
1.08E-02,-0.2396599
1.08E-02,-0.2173978
1.09E-02,-0.196537
1.09E-02,-0.1764634
1.09E-02,-0.1635532
1.10E-02,-0.1568261
1.10E-02,-0.1589665
1.10E-02,-0.1708204
1.10E-02,-0.1919348
1.11E-02,-0.2190043
0.0111084,-0.2462756
1.11E-02,-0.2667901
1.12E-02,-0.2786888
1.12E-02,-0.2795381
1.12E-02,-0.2686347
1.13E-02,-0.2465748
0.0112915,-0.2169128
1.13E-02,-0.1828734
1.14E-02,-0.1500836
1.14E-02,-0.123179
1.14E-02,-0.1044937
1.14E-02,-9.94E-02
1.15E-02,-0.1076862
1.15E-02,-0.1209777
1.15E-02,-0.135805
1.16E-02,-0.1484867
1.16E-02,-0.1551222
0.0116272,-0.1538506
1.17E-02,-0.1467531
1.17E-02,-0.1351878
1.17E-02,-0.1160845
1.17E-02,-9.02E-02
1.18E-02,-6.10E-02
0.0118103,-3.24E-02
1.18E-02,-1.45E-02
1.19E-02,-9.09E-03
1.19E-02,-0.0166892
1.19E-02,-3.39E-02
1.20E-02,-6.18E-02
1.20E-02,-0.0960962
1.20E-02,-0.1322861
1.21E-02,-0.1651444
1.21E-02,-0.1917958
1.21E-02,-0.2087474
0.012146,-0.2164977
1.22E-02,-0.2124622
1.22E-02,-0.198427
1.22E-02,-0.1796066
1.23E-02,-0.1595844
1.23E-02,-0.1399202
0.0123291,-0.1217269
1.24E-02,-0.108495
1.24E-02,-0.1053381
1.24E-02,-0.1146405
1.25E-02,-0.1362468
1.25E-02,-0.164982
1.25E-02,-0.1948914
1.25E-02,-0.2206158
1.26E-02,-0.2383059
1.26E-02,-0.2465486
1.26E-02,-0.2430193
1.27E-02,-0.2275356
1.27E-02,-0.2011975
1.27E-02,-0.1675588
1.28E-02,-0.1334141
1.28E-02,-0.1048376
1.28E-02,-9.21E-02
0.0128479,-9.71E-02
1.29E-02,-0.1200511
1.29E-02,-0.1534137
1.29E-02,-0.1881975
1.30E-02,-0.2166625
1.30E-02,-0.2359568
1.30E-02,-0.2427476
1.31E-02,-0.2391741
1.31E-02,-0.2242567
1.31E-02,-0.2023287
1.32E-02,-0.1729357
1.32E-02,-0.1426744
1.32E-02,-0.1193901
1.32E-02,-0.1052463
1.33E-02,-0.1011343
1.33E-02,-0.1067223
1.33E-02,-0.1184595
0.0133667,-0.1371994
1.34E-02,-0.1555533
1.34E-02,-0.1680593
1.35E-02,-0.1729479
1.35E-02,-0.1688812
1.35E-02,-0.1570123
0.0135498,-0.1388877
1.36E-02,-0.11692
1.36E-02,-9.64E-02
1.36E-02,-8.02E-02
1.37E-02,-7.00E-02
1.37E-02,-6.53E-02
1.37E-02,-6.80E-02
1.38E-02,-7.63E-02
1.38E-02,-9.08E-02
1.38E-02,-0.111135
1.39E-02,-0.1338092
0.0138855,-0.1529895
1.39E-02,-0.1643514
1.39E-02,-0.1629261
1.40E-02,-0.1515401
1.40E-02,-0.1323409
1.40E-02,-0.1119563
0.0140686,-9.34E-02
1.41E-02,-7.87E-02
1.41E-02,-0.0685878
1.42E-02,-6.20E-02
1.42E-02,-5.99E-02
1.42E-02,-6.35E-02
1.43E-02,-7.13E-02
1.43E-02,-8.17E-02
1.43E-02,-9.02E-02
1.43E-02,-0.0972821
1.44E-02,-9.89E-02
0.0144043,-9.62E-02
1.44E-02,-0.0897565
1.45E-02,-7.60E-02
1.45E-02,-5.72E-02
1.45E-02,-3.07E-02
1.46E-02,-7.10E-04
0.0145874,0.0325735
1.46E-02,6.52E-02
1.46E-02,0.0901479
1.47E-02,0.1070908
1.47E-02,0.11024
1.47E-02,9.87E-02
1.48E-02,7.46E-02
1.48E-02,3.95E-02
1.48E-02,8.30E-04
1.49E-02,-3.73E-02
1.49E-02,-7.17E-02
0.0149231,-9.59E-02
1.50E-02,-0.106734
1.50E-02,-0.1012151
1.50E-02,-0.0837934
1.50E-02,-5.97E-02
1.51E-02,-3.62E-02
0.0151062,-1.84E-02
1.51E-02,-6.25E-03
1.52E-02,-4.05E-03
1.52E-02,-1.30E-02
1.52E-02,-3.16E-02
1.53E-02,-5.80E-02
1.53E-02,-8.25E-02
1.53E-02,-9.94E-02
1.54E-02,-0.1045512
1.54E-02,-9.80E-02
1.54E-02,-8.29E-02
1.54E-02,-6.08E-02
1.55E-02,-3.83E-02
1.55E-02,-1.97E-02
1.55E-02,-5.60E-03
1.56E-02,-1.75E-04
1.56E-02,-4.79E-03
0.015625,-2.34E-02
1.57E-02,-5.17E-02
1.57E-02,-8.54E-02
1.57E-02,-0.114899
1.57E-02,-0.1341647
1.58E-02,-0.1390353
1.58E-02,-0.1290457
1.58E-02,-0.1071803
1.59E-02,-0.0789336
1.59E-02,-4.95E-02
1.59E-02,-2.64E-02
1.60E-02,-1.24E-02
1.60E-02,-8.97E-03
1.60E-02,-1.41E-02
1.61E-02,-0.0255542
1.61E-02,-3.97E-02
1.61E-02,-5.43E-02
0.0161438,-6.76E-02
1.62E-02,-7.92E-02
1.62E-02,-8.55E-02
1.62E-02,-0.083862
1.63E-02,-7.32E-02
1.63E-02,-0.0533802
0.0163269,-2.57E-02
1.64E-02,3.96E-03
1.64E-02,0.0271416
1.64E-02,3.93E-02
1.64E-02,4.11E-02
1.65E-02,3.40E-02
1.65E-02,2.40E-02
1.65E-02,1.44E-02
1.66E-02,7.23E-03
1.66E-02,2.17E-03
1.66E-02,-2.77E-03
0.0166626,-5.83E-03
1.67E-02,-6.69E-03
1.67E-02,-3.46E-03
1.68E-02,2.68E-03
1.68E-02,7.55E-03
1.68E-02,0.012831
0.0168457,1.29E-02
1.69E-02,4.37E-03
1.69E-02,-1.23E-02
1.69E-02,-3.49E-02
1.70E-02,-0.0565654
1.70E-02,-7.32E-02
1.70E-02,-8.21E-02
1.71E-02,-7.81E-02
1.71E-02,-6.16E-02
1.71E-02,-3.61E-02
1.72E-02,-6.17E-03
0.0171814,0.0258699
1.72E-02,0.059198
1.72E-02,8.92E-02
1.73E-02,0.1142132
1.73E-02,0.1304595
1.73E-02,0.1348059
0.0173645,0.1258195
1.74E-02,0.1053361
1.74E-02,0.0795815
1.75E-02,5.47E-02
1.75E-02,3.67E-02
1.75E-02,2.58E-02
1.75E-02,2.22E-02
1.76E-02,2.84E-02
1.76E-02,4.02E-02
1.76E-02,5.47E-02
1.77E-02,6.61E-02
0.0177002,7.08E-02
1.77E-02,7.02E-02
1.78E-02,6.73E-02
1.78E-02,6.29E-02
1.78E-02,5.42E-02
1.79E-02,3.97E-02
0.0178833,2.29E-02
1.79E-02,8.77E-03
1.79E-02,-2.48E-03
1.80E-02,-9.89E-03
1.80E-02,-1.32E-02
1.80E-02,-1.18E-02
1.81E-02,-3.93E-03
1.81E-02,8.14E-03
1.81E-02,0.0217151
1.82E-02,3.66E-02
1.82E-02,5.20E-02
1.82E-02,6.48E-02
1.82E-02,6.96E-02
1.83E-02,6.20E-02
